Manuscript,Derivative A (1966 ed),Derivative B (1970 ed),
1,3,19,
2,4,20,
3,5,21,
4,7,22,
5,8,22,
6,9,23,
7,10,24,
8,11,25,
9,12,26,
10,14,26,
11,15,27,
12,16,28,
13,17,29,
14,18,30,
15,19,30,
16,20,31,
17,21,32,
18,22,33,
19,24,33,
20,25,34,
21,27,35,
22,28,36,
23,29,36,
24,30,37,
25,31,38,
26,32,39,
27,33,39,
28,34,40,
29,35,41,
30,36,42,
31,37,43,
32,38,43,
33,39,44,
34,40,45,
35,42,46,
36,43,46,
37,44,47,
38,45,48,
39,46,49,
40,46,50,
41,47,50,
42,48,51,
43,50,52,
44,51,53,
45,52,54,
46,53,54,
47,54,55,
48,55,56,
49,56,57,
50,57,57,
51,58,58,
52,59,59,
53,60,60,
54,61,60,
55,62,61,
56,63,62,
57,64,63,missing scanned page as TIFF 
58,65,63,
59,66,64,
60,67,65,
61,68,66,
62,69,66,
63,70,67,
64,72,68,
65,73,69,
66,74,69,
67,75,70,
68,77,71,
69,78,72,
70,79,72,
71,80,73,
72,81,74,
73,82,75,
74,83,75,
75,85,76,
76,86,77,
77,87,78,
78,87,78,
79,88,79,
80,90,80,
81,91,80,
82,92,81,
83,93,82,
84,94,83,
85,95,83,
86,96,84,
87,98,85,
88,99,86,
89,100,86,
90,101,87,
91,102,88,
92,103,89,
93,104,89,
94,105,90,
95,107,91,
96,108,92,
97,109,93,
98,110,94,
99,111,94,
100,112,95,
101,113,96,
102,115,97,
103,116,97,
104,117,98,
105,118,99,
106,119,100,
107,120,100,
108,121,101,
109,122,102,
110,124,103,
111,125,103,
112,126,104,
113,127,105,
114,128,106,
115,129,106,
116,130,107,
117,131,108,
118,132,109,
119,133,109,
120,134,110,
121,136,111,
122,137,112,
123,138,113,
124,139,113,
125,140,114,
126,141,115,
127,142,116,
128,143,116,
129,144,117,
130,145,118,
131,146,119,
132,147,119,
133,148,120,
134,149,121,
135,150,122,
136a,151,122,
138b,152,123,
137c,154,124,
139d,154,124,
140e,155,125,
141f,156,125,
140g,157,126,
141h,157,126,
142,158,127,
143,159,127,
144,159,128,
145,160,128,
146,161,129,
147,162,129,
148,163,130,
149,163,130,
150,164,131,
151,165,132,
152,166,132,
153,167,133,
154,168,133,
155,168,134,
156,169,134,
157,170,135,
158,171,136,
159,172,136,
160,173,137,
161,173,137,
162,174,138,
163,175,138,
164,176,139,
165,177,139,
166,178,140,
167,179,141,
168,180,141,
169,180,142,
170,181,142,
171,182,143,
172,183,143,
173,184,144,
174,184,144,
175,185,145,
176,186,146,
177,187,146,
178,188,147,
179,188,147,
180,189,148,
181,190,148,
182,191,149,
183,192,150,
184,193,150,
185,194,151,
186,195,152,
187,196,152,
188,196,153,
189,197,153,
190,198,154,
191,199,154,
192,200,155,
193,201,156,
194,202,156,
195,202,157,
196,203,157,
197,204,158,
198,198,158,
199,205,159,
200,206,159,
201,207,160,
202,208,161,
203,209,161,
204,210,162,
205,211,162,
206,211,163,
207,212,163,
208,213,164,
209,214,164,
210,215,165,
211,216,166,
212,216,166,
213,217,167,
214,218,167,
215,219,168,
216,220,168,
217,220,169,
218,221,169,
219,222,170,
220,223,170,
221,224,171,
222,224,171,
223,225,172,
224,226,173,
225,227,173,
226,228,174,
227,229,175,
228,230,175,
229,231,176,
